nohup: ignoring input
[2022-12-02 10:37:26.163] [info] Simpfer dataset_name yelp, dataset_dir /home/zhengbian/Dataset/ReverseMIPS
[2022-12-02 10:37:26.163] [info] index_dir /home/zhengbian/reverse-k-ranks/index
[2022-12-02 10:37:35.329] [info] n_data_item 159585, n_query_item 1000, n_user 2189457, vec_dim 150
[2022-12-02 10:37:35.329] [info] input parameter: simpfer_k_max 613, stop_time 70000s
[2022-12-02 10:52:39.554] [info] finish preprocess and save the index
[2022-12-02 18:21:25.916] [info] queryID 10, result_size 535, rtk_topk 1024, ip_cost 2572611975, query_time 2266.12s, total_ip_cost 29995062335, total_retrieval_time 26926.36s
[2022-12-02 18:21:33.332] [info] queryID 11, result_size 0, rtk_topk 1, accu_ip_cost 2097771, accu_query_time 7.42s,
[2022-12-02 18:21:35.662] [info] queryID 11, result_size 0, rtk_topk 2, accu_ip_cost 2126457, accu_query_time 9.75s,
[2022-12-02 18:21:37.929] [info] queryID 11, result_size 0, rtk_topk 4, accu_ip_cost 2141997, accu_query_time 12.01s,
[2022-12-02 18:21:40.196] [info] queryID 11, result_size 0, rtk_topk 8, accu_ip_cost 2152245, accu_query_time 14.28s,
[2022-12-02 18:21:42.634] [info] queryID 11, result_size 1, rtk_topk 16, accu_ip_cost 2304414, accu_query_time 16.72s,
[2022-12-02 18:21:45.117] [info] queryID 11, result_size 2, rtk_topk 32, accu_ip_cost 2447288, accu_query_time 19.20s,
[2022-12-02 18:21:47.662] [info] queryID 11, result_size 2, rtk_topk 64, accu_ip_cost 2528357, accu_query_time 21.75s,
[2022-12-02 18:21:50.571] [info] queryID 11, result_size 5, rtk_topk 128, accu_ip_cost 3385354, accu_query_time 24.66s,
[2022-12-02 18:21:55.370] [info] queryID 11, result_size 13, rtk_topk 256, accu_ip_cost 7744181, accu_query_time 29.45s,
[2022-12-02 18:22:20.143] [info] queryID 11, result_size 33, rtk_topk 512, accu_ip_cost 59424737, accu_query_time 54.23s,
[2022-12-02 18:56:52.496] [info] queryID 11, result_size 96, rtk_topk 1024, accu_ip_cost 2572611975, accu_query_time 2126.58s,
[2022-12-02 19:41:26.749] [info] queryID 11, result_size 272, rtk_topk 2048, accu_ip_cost 4814615943, accu_query_time 4800.83s,
[2022-12-02 19:41:26.749] [info] queryID 11, result_size 272, rtk_topk 2048, ip_cost 4814615943, query_time 4800.83s, total_ip_cost 34809678278, total_retrieval_time 31727.19s
[2022-12-02 19:41:34.628] [info] queryID 12, result_size 0, rtk_topk 1, accu_ip_cost 1939725, accu_query_time 7.88s,
[2022-12-02 19:41:38.068] [info] queryID 12, result_size 1, rtk_topk 2, accu_ip_cost 2163461, accu_query_time 11.32s,
[2022-12-02 19:41:41.372] [info] queryID 12, result_size 1, rtk_topk 4, accu_ip_cost 2217347, accu_query_time 14.62s,
[2022-12-02 19:41:44.697] [info] queryID 12, result_size 2, rtk_topk 8, accu_ip_cost 2382796, accu_query_time 17.95s,
[2022-12-02 19:41:47.987] [info] queryID 12, result_size 2, rtk_topk 16, accu_ip_cost 2403093, accu_query_time 21.24s,
[2022-12-02 19:41:51.386] [info] queryID 12, result_size 2, rtk_topk 32, accu_ip_cost 2453237, accu_query_time 24.64s,
[2022-12-02 19:41:54.851] [info] queryID 12, result_size 3, rtk_topk 64, accu_ip_cost 2578054, accu_query_time 28.10s,
[2022-12-02 19:41:58.319] [info] queryID 12, result_size 3, rtk_topk 128, accu_ip_cost 2642753, accu_query_time 31.57s,
[2022-12-02 19:42:02.085] [info] queryID 12, result_size 3, rtk_topk 256, accu_ip_cost 3607124, accu_query_time 35.34s,
[2022-12-02 19:42:21.586] [info] queryID 12, result_size 3, rtk_topk 512, accu_ip_cost 47150003, accu_query_time 54.84s,
[2022-12-02 20:17:22.119] [info] queryID 12, result_size 9, rtk_topk 1024, accu_ip_cost 2572611975, accu_query_time 2155.37s,
[2022-12-02 21:01:45.955] [info] queryID 12, result_size 25, rtk_topk 2048, accu_ip_cost 4814615943, accu_query_time 4819.21s,
[2022-12-02 21:56:20.693] [info] queryID 12, result_size 133, rtk_topk 4096, accu_ip_cost 9298623879, accu_query_time 8093.94s,
[2022-12-02 23:09:26.986] [info] queryID 12, result_size 645, rtk_topk 8192, accu_ip_cost 18266639751, accu_query_time 12480.24s,
[2022-12-02 23:09:26.986] [info] queryID 12, result_size 645, rtk_topk 8192, ip_cost 18266639751, query_time 12480.24s, total_ip_cost 53076318029, total_retrieval_time 44207.43s
[2022-12-02 23:09:34.669] [info] queryID 13, result_size 0, rtk_topk 1, accu_ip_cost 1833717, accu_query_time 7.68s,
[2022-12-02 23:09:37.255] [info] queryID 13, result_size 0, rtk_topk 2, accu_ip_cost 1982859, accu_query_time 10.27s,
[2022-12-02 23:09:39.714] [info] queryID 13, result_size 0, rtk_topk 4, accu_ip_cost 2065053, accu_query_time 12.73s,
[2022-12-02 23:09:42.126] [info] queryID 13, result_size 0, rtk_topk 8, accu_ip_cost 2110917, accu_query_time 15.14s,
[2022-12-02 23:09:44.484] [info] queryID 13, result_size 0, rtk_topk 16, accu_ip_cost 2133513, accu_query_time 17.50s,
