queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
       298,   1823127,        49,         3,   1823179,       192,      0.52,      0.49,      0.03
       299,   1823123,        41,        15,   1823179,       960,      0.72,      0.59,      0.13
       300,   1823120,        47,        12,   1823179,       832,      0.71,      0.60,      0.10
       301,   1823129,        50,         0,   1823179,         0,      0.45,      0.45,      0.00
       302,   1823129,        50,         0,   1823179,         0,      0.52,      0.52,      0.00
       303,   1823123,        43,        13,   1823179,       832,      0.67,      0.57,      0.11
       304,   1823126,        27,        26,   1823179,      1664,      0.75,      0.54,      0.20
       305,   1823128,        46,         5,   1823179,       320,      0.63,      0.58,      0.06
       306,   1823124,        49,         6,   1823179,       576,      0.60,      0.54,      0.06
       307,   1823129,        50,         0,   1823179,         0,      0.52,      0.52,      0.00
       308,   1823126,        49,         4,   1823179,       768,      0.51,      0.45,      0.05
       309,   1823126,        47,         6,   1823179,       384,      0.62,      0.55,      0.06
       310,   1823128,        48,         3,   1823179,       192,      0.62,      0.58,      0.04
       311,   1823124,        48,         7,   1823179,       448,      0.66,      0.59,      0.07
       312,   1823125,        48,         6,   1823179,       640,      0.63,      0.56,      0.07
       313,   1823127,        49,         3,   1823179,       320,      0.53,      0.51,      0.02
       314,   1823128,        43,         8,   1823179,       576,      0.73,      0.65,      0.08
       315,   1823128,        48,         3,   1823179,       192,      0.61,      0.58,      0.03
       316,   1823123,        44,        12,   1823179,       832,      0.72,      0.60,      0.12
       317,   1823127,        47,         5,   1823179,       320,      0.64,      0.58,      0.06
       318,   1823123,        48,         8,   1823179,       576,      0.66,      0.58,      0.08
       319,   1823127,        48,         4,   1823179,       320,      0.52,      0.49,      0.03
       320,   1823128,        49,         2,   1823179,       320,      0.47,      0.43,      0.04
       321,   1823128,        45,         6,   1823179,       384,      0.65,      0.58,      0.07
       322,   1823128,        46,         5,   1823179,       512,      0.62,      0.57,      0.05
       323,   1823128,        36,        15,   1823179,       960,      0.72,      0.61,      0.11
       324,   1823127,        47,         5,   1823179,       384,      0.66,      0.62,      0.04
       325,   1823129,        50,         0,   1823179,         0,      0.43,      0.43,      0.00
       326,   1823125,        49,         5,   1823179,       320,      0.52,      0.47,      0.05
       327,   1823128,        32,        19,   1823179,      1216,      0.74,      0.58,      0.16
       328,   1823129,        50,         0,   1823179,         0,      0.52,      0.51,      0.00
       329,   1823115,        49,        15,   1823179,       960,      0.68,      0.55,      0.14
       330,   1823129,        50,         0,   1823179,         0,      0.48,      0.48,      0.00
       331,   1823128,        49,         2,   1823179,       128,      0.49,      0.47,      0.02
       332,   1823129,        50,         0,   1823179,         0,      0.48,      0.48,      0.00
       333,   1823124,        47,         8,   1823179,       512,      0.58,      0.53,      0.06
       334,   1823077,        43,        59,   1823179,      3776,      1.03,      0.60,      0.43
       335,   1823122,        45,        12,   1823179,      1088,      0.69,      0.57,      0.11
       336,   1823127,        47,         5,   1823179,       384,      0.61,      0.54,      0.06
       337,   1823128,        49,         2,   1823179,       192,      0.50,      0.45,      0.04
       338,   1823129,        50,         0,   1823179,         0,      0.44,      0.44,      0.00
       339,   1823129,        50,         0,   1823179,         0,      0.57,      0.57,      0.00
       340,   1823127,        48,         4,   1823179,       384,      0.52,      0.46,      0.05
       341,   1823126,        49,         4,   1823179,       448,      0.54,      0.51,      0.03
       342,   1823128,        47,         4,   1823179,       384,      0.49,      0.43,      0.05
       343,   1823128,        49,         2,   1823179,       192,      0.44,      0.43,      0.01
       344,   1823128,        43,         8,   1823179,       576,      0.64,      0.58,      0.06
       345,   1823129,        50,         0,   1823179,         0,      0.49,      0.49,      0.00
       346,   1823102,        33,        44,   1823179,      2816,      0.97,      0.60,      0.37
       347,   1823127,        49,         3,   1823179,       192,      0.52,      0.48,      0.04
       348,   1823127,        48,         4,   1823179,       320,      0.51,      0.49,      0.02
       349,   1823128,        44,         7,   1823179,      5696,      0.48,      0.41,      0.08
       350,   1823128,        45,         6,   1823179,       896,      0.48,      0.42,      0.06
       351,   1823122,        48,         9,   1823179,       576,      0.61,      0.53,      0.08
       352,   1823127,        49,         3,   1823179,       256,      0.56,      0.51,      0.05
       353,   1823129,        50,         0,   1823179,         0,      0.53,      0.53,      0.00
       354,   1823127,        49,         3,   1823179,       576,      0.45,      0.43,      0.02
       355,   1823124,        39,        16,   1823179,      1152,      0.66,      0.54,      0.12
       356,   1823128,        48,         3,   1823179,       192,      0.49,      0.47,      0.02
       357,   1823129,        50,         0,   1823179,         0,      0.45,      0.44,      0.00
       358,   1823112,        47,        20,   1823179,      1472,      0.80,      0.58,      0.22
       359,   1823117,        45,        17,   1823179,      1216,      0.77,      0.59,      0.18
       360,   1823125,        45,         9,   1823179,       576,      0.63,      0.55,      0.07
       361,   1823129,        50,         0,   1823179,         0,      0.42,      0.42,      0.00
       362,   1823125,        43,        11,   1823179,       704,      0.69,      0.59,      0.10
       363,   1823128,        22,        29,   1823179,      1856,      0.82,      0.59,      0.22
       364,   1823128,        42,         9,   1823179,       576,      0.61,      0.54,      0.07
       365,   1823119,        37,        23,   1823179,      1792,      0.78,      0.59,      0.20
       366,   1823128,        47,         4,   1823179,       320,      0.62,      0.57,      0.04
       367,   1823126,        47,         6,   1823179,       384,      0.63,      0.57,      0.06
       368,   1823129,        50,         0,   1823179,         0,      0.57,      0.57,      0.00
       369,   1823128,        49,         2,   1823179,       128,      0.58,      0.54,      0.03
       370,   1823129,        50,         0,   1823179,         0,      0.53,      0.53,      0.00
       371,   1823129,        50,         0,   1823179,         0,      0.52,      0.52,      0.00
       372,   1823118,        29,        32,   1823179,      2048,      0.93,      0.66,      0.26
       373,   1823128,        49,         2,   1823179,       128,      0.60,      0.57,      0.03
       374,   1823127,        48,         4,   1823179,       320,      0.54,      0.49,      0.05
       375,   1823129,        50,         0,   1823179,         0,      0.58,      0.57,      0.00
       376,   1823124,        45,        10,   1823179,       640,      0.60,      0.51,      0.09
       377,   1823126,        40,        13,   1823179,      3776,      0.59,      0.47,      0.12
       378,   1823127,        48,         4,   1823179,       320,      0.61,      0.56,      0.05
       379,   1823129,        50,         0,   1823179,         0,      0.49,      0.49,      0.00
