[2022-09-14 03:55:15.007] [info] queryID 90, result_size 8952, rtk_topk 512, single_query_time 18.58s
[2022-09-14 03:55:17.009] [info] queryID 91, result_size 35, rtk_topk 8, single_query_time 2.00s
[2022-09-14 03:55:20.443] [info] queryID 92, result_size 50, rtk_topk 64, single_query_time 3.43s
[2022-09-14 04:03:02.589] [info] queryID 93, result_size 15, rtk_topk 2048, single_query_time 462.15s
[2022-09-14 04:03:04.587] [info] queryID 94, result_size 16, rtk_topk 8, single_query_time 2.00s
[2022-09-14 04:10:48.558] [info] queryID 95, result_size 187, rtk_topk 2048, single_query_time 463.97s
[2022-09-14 04:10:54.027] [info] queryID 96, result_size 118, rtk_topk 512, single_query_time 5.47s
[2022-09-14 04:10:57.540] [info] queryID 97, result_size 49, rtk_topk 256, single_query_time 3.51s
[2022-09-14 04:18:43.684] [info] queryID 98, result_size 315, rtk_topk 2048, single_query_time 466.14s
[2022-09-14 04:18:45.457] [info] queryID 99, result_size 25, rtk_topk 128, single_query_time 1.77s
[2022-09-14 04:18:48.422] [info] queryID 100, result_size 33, rtk_topk 64, single_query_time 2.96s
[2022-09-14 04:18:54.067] [info] queryID 101, result_size 204, rtk_topk 512, single_query_time 5.65s
[2022-09-14 04:18:57.878] [info] queryID 102, result_size 14, rtk_topk 1024, single_query_time 3.81s
[2022-09-14 04:38:56.738] [info] queryID 103, result_size 67, rtk_topk 4096, single_query_time 1198.86s
[2022-09-14 04:39:04.323] [info] queryID 104, result_size 49, rtk_topk 1024, single_query_time 7.58s
[2022-09-14 04:46:44.417] [info] queryID 105, result_size 10, rtk_topk 2048, single_query_time 460.09s
[2022-09-14 04:46:45.906] [info] queryID 106, result_size 10, rtk_topk 32, single_query_time 1.49s
[2022-09-14 04:46:50.674] [info] queryID 107, result_size 106, rtk_topk 512, single_query_time 4.77s
[2022-09-14 04:46:55.387] [info] queryID 108, result_size 20, rtk_topk 1024, single_query_time 4.71s
[2022-09-14 04:47:06.490] [info] queryID 109, result_size 30, rtk_topk 1024, single_query_time 11.10s
[2022-09-14 05:25:14.687] [info] queryID 110, result_size 239, rtk_topk 8192, single_query_time 2288.20s
[2022-09-14 05:25:17.486] [info] queryID 111, result_size 33, rtk_topk 512, single_query_time 2.80s
[2022-09-14 05:25:18.774] [info] queryID 112, result_size 20, rtk_topk 32, single_query_time 1.29s
[2022-09-14 05:25:23.281] [info] queryID 113, result_size 106, rtk_topk 256, single_query_time 4.51s
[2022-09-14 05:25:34.326] [info] queryID 114, result_size 51, rtk_topk 1024, single_query_time 11.04s
[2022-09-14 05:25:35.346] [info] queryID 115, result_size 27, rtk_topk 2, single_query_time 1.02s
[2022-09-14 05:25:38.932] [info] queryID 116, result_size 49, rtk_topk 256, single_query_time 3.59s
[2022-09-14 05:25:42.689] [info] queryID 117, result_size 10, rtk_topk 128, single_query_time 3.76s
[2022-09-14 05:25:55.527] [info] queryID 118, result_size 46, rtk_topk 1024, single_query_time 12.84s
[2022-09-14 05:25:58.167] [info] queryID 119, result_size 11, rtk_topk 1024, single_query_time 2.64s
[2022-09-14 06:04:05.245] [info] queryID 120, result_size 95, rtk_topk 8192, single_query_time 2287.08s
[2022-09-14 06:04:07.275] [info] queryID 121, result_size 35, rtk_topk 512, single_query_time 2.03s
[2022-09-14 06:04:11.719] [info] queryID 122, result_size 13, rtk_topk 256, single_query_time 4.44s
[2022-09-14 06:11:53.782] [info] queryID 123, result_size 88, rtk_topk 2048, single_query_time 462.06s
[2022-09-14 06:11:58.630] [info] queryID 124, result_size 143, rtk_topk 256, single_query_time 4.85s
[2022-09-14 06:12:02.717] [info] queryID 125, result_size 63, rtk_topk 128, single_query_time 4.09s
[2022-09-14 06:12:08.781] [info] queryID 126, result_size 2207, rtk_topk 256, single_query_time 6.06s
[2022-09-14 06:50:17.115] [info] queryID 127, result_size 24, rtk_topk 8192, single_query_time 2288.33s
[2022-09-14 06:50:21.118] [info] queryID 128, result_size 44, rtk_topk 128, single_query_time 4.00s
[2022-09-14 06:50:24.130] [info] queryID 129, result_size 31, rtk_topk 32, single_query_time 3.01s
[2022-09-14 07:10:23.694] [info] queryID 130, result_size 369, rtk_topk 4096, single_query_time 1199.56s
[2022-09-14 07:10:44.208] [info] queryID 131, result_size 328, rtk_topk 1024, single_query_time 20.51s
[2022-09-14 07:10:48.097] [info] queryID 132, result_size 21, rtk_topk 128, single_query_time 3.89s
[2022-09-14 07:10:50.203] [info] queryID 133, result_size 13, rtk_topk 1024, single_query_time 2.11s
[2022-09-14 07:10:51.777] [info] queryID 134, result_size 41, rtk_topk 32, single_query_time 1.57s
[2022-09-14 07:30:50.298] [info] queryID 135, result_size 46, rtk_topk 4096, single_query_time 1198.52s
[2022-09-14 07:30:54.687] [info] queryID 136, result_size 54, rtk_topk 256, single_query_time 4.39s
[2022-09-14 07:30:55.899] [info] queryID 137, result_size 3520, rtk_topk 1, single_query_time 1.21s
[2022-09-14 07:38:36.247] [info] queryID 138, result_size 15, rtk_topk 2048, single_query_time 460.35s
[2022-09-14 08:16:44.998] [info] queryID 139, result_size 49, rtk_topk 8192, single_query_time 2288.75s
[2022-09-14 08:16:48.388] [info] queryID 140, result_size 23, rtk_topk 1024, single_query_time 3.39s
[2022-09-14 08:16:54.623] [info] queryID 141, result_size 138, rtk_topk 512, single_query_time 6.24s
[2022-09-14 08:16:55.295] [info] queryID 142, result_size 10, rtk_topk 16, single_query_time 0.67s
[2022-09-14 08:16:58.605] [info] queryID 143, result_size 17, rtk_topk 128, single_query_time 3.31s
[2022-09-14 08:17:03.095] [info] queryID 144, result_size 53, rtk_topk 512, single_query_time 4.49s
[2022-09-14 08:17:05.077] [info] queryID 145, result_size 19, rtk_topk 8, single_query_time 1.98s
[2022-09-14 08:17:08.079] [info] queryID 146, result_size 17, rtk_topk 32, single_query_time 3.00s
[2022-09-14 08:17:08.581] [info] queryID 147, result_size 45, rtk_topk 1, single_query_time 0.50s
[2022-09-14 08:17:13.784] [info] queryID 148, result_size 11, rtk_topk 1024, single_query_time 5.20s
[2022-09-14 08:37:12.391] [info] queryID 149, result_size 10, rtk_topk 4096, single_query_time 1198.61s
[2022-09-14 08:37:20.676] [info] queryID 150, result_size 92, rtk_topk 1024, single_query_time 8.28s
